PLZ_K,STADT_K,lat,lon
99089,Erfurt,50.9833,11.0333
63452,Hanau,50.1333,8.91667
61440,Oberursel (Taunus),50.2,8.58333
10623,Berlin Charlottenburg-Wilmersdorf,52.497058,13.29649
24960,Munkbrarup,54.8026425337,9.5637234584
9394,Hohndorf bei Stollberg,50.75,12.6833
4680,Colditz,51.1333,12.8167
1326,Dresden,51.05,13.75
1129,Dresden,51.05,13.75
40217,Düsseldorf,51.220507741497,6.81216996826174
17419,Garz,53.8818,14.17006
2977,Hoyerswerda,51.43821,14.25253
10115,Berlin,52.52468,13.40535
4317,Leipzig,51.3396,12.3713
1561,Lampertswalde bei Großenhain,51.3134006842652,13.6750255767822
4207,Leipzig,51.3396,12.3713
4275,Leipzig,51.3396,12.3713
58099,Hagen (Westfalen),51.3606,7.4785
9117,Chemnitz,50.8333,12.9167
60329,Frankfurt am Main,50.1167,8.68333
10405,Berlin,52.52468,13.40535
46047,Oberhausen,51.4966333148967,6.85141620635989
10969,Berlin Friedrichshain-Kreuzberg,52.5015,13.43512
40212,Düsseldorf,51.220507741497,6.81216996826174
63477,Maintal,50.15,8.83333
60386,Frankfurt am Main Fechenheim,50.1167,8.68333
75365,Calw,48.7167,8.73333
50126,Bergheim,50.9667,6.65
40215,Düsseldorf,51.220507741497,6.81216996826174
17089,Breest,53.7895878511208,13.3345016296387
23775,Großenbrode,54.36949,11.08533
18258,Bröbberow Klein Grenz,53.96341,12.0252399999999
73728,Esslingen am Neckar,48.75,9.3
17237,Hohenzieritz Zippelow,53.4663406338844,13.1202131271361
60598,Frankfurt am Main,50.1167,8.68333
8280,Aue,50.5833,12.7
23996,Hohen Viecheln,53.78461,11.5114100000001
9127,Chemnitz,50.8333,12.9167
2681,Schirgiswalde,51.07636,14.42562
1833,Stolpen,51.04894,14.07902
50933,Köln,50.9333,6.95
19372,Brunow bei Parchim,53.26244,11.81313
17389,Anklam Gellendin,53.82344,13.7007100000001
25554,Bekdorf bei Wilster,53.93769,9.423966
8058,Zwickau,50.7333,12.5
72379,Hechingen,48.35,8.98333
50169,Kerpen,50.8667,6.7
10245,Berlin Friedrichshain-Kreuzberg,52.5015,13.43512
89079,Ulm (Donau),48.4,10.0
88677,Markdorf (Baden),47.7167,9.4
12055,Berlin,52.52468,13.40535
68623,Lampertheim,49.6019,8.47194
18246,Jürgenshagen bei Bützow,53.95419,11.89563
17213,Göhren-Lebbin,53.47906,12.51016
80809,München,48.1374,11.5755
50737,Köln,50.9333,6.95
4319,Leipzig,51.3396,12.3713
99091,Erfurt Gispersleben,50.9833,11.0333
39124,Magdeburg,52.13196,11.62658
1796,Pirna,50.95326,13.93815
49074,Osnabrück,52.28201,8.04326000000003
8626,Mühlental,50.4519,12.4815
55129,Mainz,50.0,8.27111
6425,Plötzkau,51.7455,11.68292
14806,Belzig Dippmannsdorf,52.22085,12.59674
66606,Sankt Wendel,49.4667,7.16667
45141,Essen,51.4624880801468,7.00864483062742
7548,Gera Untermhaus,50.8667,12.0833
7554,Pölzig,50.95,12.2
7957,Hain bei Zeulenroda,50.7,12.0833
23843,Rümpel,53.78294,10.35188
10243,Berlin Friedrichshain-Kreuzberg,52.5015,13.43512
88416,Erlenmoos,48.0667,9.98333
80336,München,48.1374,11.5755
9569,Oederan,50.8667,13.1667
4205,Leipzig,51.3396,12.3713
18375,Ostseebad Prerow,54.44447,12.56525
17235,Neustrelitz Neustrelitz,53.36049,13.07302
22301,Hamburg Hamburg-Nord,53.6153,9.99269
35444,Biebertal,50.6,8.58333
7607,Hainspitz,50.95,11.8333
40885,Ratingen,51.2965653110169,6.84012947082522
60323,Frankfurt am Main,50.1167,8.68333
9387,Jahnsdorf / Erzgebirge,50.75,12.85
8359,Breitenbrunn / Erzgebirge,50.4667,12.7667
4651,Eulatal,51.1,12.6333
28832,Achim bei Bremen,53.010945,9.037355
18230,Kröpelin Boldenshagen,54.08647,11.76817
1217,Dresden,51.05,13.75
18299,Hohen Sprenz,53.91232,12.1953599999999
33604,Bielefeld,52.02126,8.54576999999995
22339,Hamburg Wandsbek,53.581944,10.084167
26180,Rastede,53.24506,8.19907000000001
18196,Dummerstorf Bandelstorf,54.03723,12.25153
66625,Nohfelden,49.5833,7.15
17207,Groß Kelle,53.4061404838696,12.5439918518066
18574,Garz/Rügen Karnitz,54.353238,13.371813
19089,Wessin Radepohl,53.5676,11.7538500000001
